"Question","Answer"
"What is the best fertilizer for wheat?","The best fertilizer for wheat is a balanced NPK fertilizer with a higher nitrogen ratio, such as urea or DAP, applied before sowing and at key growth stages."
"When should rice be transplanted?","Rice seedlings are best transplanted when they are 20–30 days old, with 4–5 leaves, usually in puddled soil during the monsoon season."
"How much water does paddy require?","Paddy requires about 1200–1500 mm of water throughout its growing season, with continuous standing water of 5–10 cm during vegetative growth."
"What is the ideal temperature for maize growth?","Maize grows best in warm conditions with temperatures between 18°C and 27°C."
"Which crop is suitable for sandy soil?","Groundnut, watermelon, and millets grow well in sandy soils because of their tolerance to low moisture retention."
"How can I improve soil fertility?","You can improve soil fertility by adding organic manure, compost, green manure crops, crop rotation, and using biofertilizers."
"Why is crop rotation important?","Crop rotation helps in breaking pest cycles, improves soil structure, prevents nutrient depletion, and increases overall yield."
"What is mulching?","Mulching is covering the soil surface with straw, plastic, or leaves to conserve moisture, reduce weeds, and regulate temperature."
"What is the ideal pH for wheat cultivation?","Wheat grows best in soils with pH between 6.0 and 7.5."
"Which is the best irrigation method for vegetables?","Drip irrigation is the most efficient method for vegetables as it saves water and delivers it directly to the roots."
"Question","Answer"
"How can I control pests in cotton?","Cotton pests like bollworm can be managed with integrated pest management (IPM), which includes timely sowing, pheromone traps, resistant varieties, and biopesticides."
"What is organic farming?","Organic farming is a method of agriculture that avoids synthetic fertilizers and pesticides, instead relying on compost, green manure, and natural pest control."
"What are biofertilizers?","Biofertilizers are living organisms like Rhizobium, Azotobacter, and Azospirillum that fix nitrogen and improve soil fertility naturally."
"How do I prevent fungal diseases in crops?","Prevent fungal diseases by using disease-free seeds, crop rotation, proper drainage, and fungicide sprays when necessary."
"What is the recommended spacing for tomato plants?","Tomato plants should be spaced 60 cm between plants and 75–90 cm between rows."
"How can I increase milk yield in cows?","Milk yield can be increased by providing balanced feed, clean water, regular deworming, vaccination, and stress-free housing."
"What are micronutrients in soil?","Micronutrients include zinc, iron, copper, manganese, boron, and molybdenum, which are required in small amounts but essential for plant growth."
"How can I conserve water in farming?","Techniques like drip irrigation, sprinkler systems, mulching, and rainwater harvesting help conserve water."
"What is integrated farming?","Integrated farming combines crop cultivation, livestock, fisheries, and agroforestry to maximize resource use and income."
"Which is the best variety of rice for high yield?","High-yielding rice varieties include IR64, MTU-1010, and hybrid varieties developed for local conditions."
"What is the average yield of wheat per acre?","Average wheat yield is 20–25 quintals per acre under good management, though it varies by region and practices."
"How can I prevent soil erosion?","Soil erosion can be reduced by contour farming, terracing, cover crops, mulching, and planting trees as windbreaks."
"What is the best crop for crop rotation after rice?","Legumes such as chickpea, lentil, or groundnut are ideal after rice as they fix nitrogen and improve soil fertility."
"What are high-value crops for small farmers?","High-value crops include vegetables, spices (ginger, turmeric), fruits, floriculture, and medicinal plants."
"What is vermicomposting?","Vermicomposting is the process of using earthworms to convert organic waste into nutrient-rich compost for crops."
"How to identify nitrogen deficiency in plants?","Nitrogen deficiency appears as yellowing of older leaves, stunted growth, and poor tillering."
"How to control weeds in wheat?","Weeds in wheat can be controlled by pre-emergence herbicides (Pendimethalin), hand weeding, or crop rotation."
